,date,title,sentiment
0,2024-05-03,My political enemy’s enemy is my friend,neutral
1,2024-05-08,Markets update: Hong Kong stocks fall after weak China data and Vance named as Trump’s VP pick,negative
2,2024-05-09,Harvest partnership to bring HK-listed crypto ETFs to Singapore,neutral
3,2024-05-10,Gold prices hit record high,positive
4,2024-05-13,The paradox of ‘sustainable bitcoin’,neutral
5,2024-05-13,Donald Trump says Fed’s half-point rate cut shows US economy is ‘very bad’,negative
6,2024-05-14,The new money laundering network fuelling the fentanyl crisis,positive
7,2024-05-14,"Bitcoin price tops $76,000 for the first time",positive
8,2024-05-16,Bitcoin surges to record as crypto investors bet on Trump win,positive
9,2024-05-17,Bitcoin ETFs swing to August outflow as investors brace for US rate cut,neutral
10,2024-05-20,Head of crypto asset manager Grayscale Investments steps down,negative
11,2024-05-20,First UK crypto ETPs to launch on May 28,positive
12,2024-05-21,Ether jumps 16% on US ETF approval speculation,neutral
13,2024-05-22,How big are global markets? And other non-urgent financial questions,negative
14,2024-05-23,S&P 500 closes at record high after Fed makes jumbo cut to US interest rates,positive
15,2024-05-24,FTAV’s further reading,neutral
16,2024-05-24,Active ETFs triumph over passives in fees from new flows,positive
17,2024-05-24,Cryptofinance: into the ether,neutral
18,2024-05-29,FTAV’s further reading,neutral
19,2024-05-30,21Shares slashes fees on two flagship crypto ETPs,neutral
20,2024-05-31,Ethereum co-founder says partisanship will block Trump crypto plans,neutral
21,2024-06-04,Markets update: Hong Kong stocks extend decline after Vance named as Trump’s running mate,neutral
22,2024-06-05,What I learnt from your open-ended wisdom on closed-ended funds,neutral
23,2024-06-05,US SEC clears path for ethereum ETFs,negative
24,2024-06-05,Telegram: a crypto firm with a sideline in messaging,negative
25,2024-06-06,Cathie Wood praises Trump for crypto stance,neutral
26,2024-06-06,Markets update: Chinese equities edge down after GDP readout,negative
27,2024-06-07,Trying to get the best government you can,positive
28,2024-06-14,Letter: Why the stablecoin boom has echoes of the South Sea bubble,neutral
29,2024-06-14,How Permira’s Golden Goose IPO collapsed,positive
30,2024-06-14,"AXS files to launch weekly, monthly and quarterly leveraged ETFs",neutral
31,2024-06-20,FirstFT: US piles tariffs on to Chinese EVs and semiconductors,neutral
32,2024-06-21,Cryptofinance: The trade-offs in chasing the decentralised dream,neutral
33,2024-06-24,State Street’s SSGA partners with Galaxy Digital to launch crypto fund,neutral
34,2024-06-26,"SEC’s Gary Gensler on his agenda: ‘If the courts adjust, we adjust’",negative
35,2024-06-27,The FT Money Machine: how we transformed an iconic invention for virtual reality,positive
36,2024-06-27,2x ether ETF debuts in US before plain vanilla spot rivals,negative
